company_name,cik,filing_date,exec_name,name,current_role,age,compensation_salary,compensation_stock,compensation_bonus,compensation_other,compensation_total,compensation_year,education,start_date,past_roles,board_member,committee_memberships,other_board_memberships,notable_achievements
FLEX LTD.,0000866374,2021-06-25,Revathi Advaithi,Revathi Advaithi,Chief Executive Officer,54,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Mechanical Engineering', 'university': 'Birla Institute of Technology and Science', 'year': None}, {'degree': 'MBA', 'field': 'International Business', 'university': 'Thunderbird-Garvin School of International Business', 'year': None}]",2019,"['President and Chief Operating Officer, Electrical Sector, Eaton Corporation plc', 'President of Electrical Sector, Americas, Eaton', 'Vice President and General Manager, Electrical Components Division, Eaton', 'Vice President and General Manager, Field Solutions, Honeywell']",True,[],"['Uber Technologies, Inc.']",
FLEX LTD.,0000866374,2021-06-25,Paul R. Lundstrom,Paul R. Lundstrom,Chief Financial Officer,47,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Finance', 'university': 'Truman State University', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'Columbia University', 'year': None}]",2020,"['Vice President and Chief Financial Officer, Aerojet Rocketdyne Holdings, Inc.', 'Vice President of Investor Relations, United Technologies Corporation', 'Vice President and Chief Financial Officer, Building & Industrial Systems – North Asia, United Technologies Corporation']",False,[],[],Certified Public Accountant in the State of Illinois
FLEX LTD.,0000866374,2021-06-25,Michael P. Hartung,Michael P. Hartung,"President, Agility Solutions",54,,,,,,2022,"[{'degree': 'Bachelor of Arts', 'field': 'Economics', 'university': 'University of California, Los Angeles', 'year': None}]",2020,"['Senior Vice President of Lifestyle, Flex', 'Vice President, Capital Equipment market segment, Flex', 'Vice President, Computing & Storage business unit, Solectron Corporation']",False,[],[],
FLEX LTD.,0000866374,2021-06-25,Scott Offer,Scott Offer,Executive Vice President and General Counsel,57,,,,,,2022,"[{'degree': 'Law Degree', 'field': None, 'university': 'London School of Economics and Political Science', 'year': None}]",2016,"['Senior Vice President and General Counsel, Lenovo', 'Chief Counsel, Lenovo Mobile Business Group', 'Senior Vice President and General Counsel, Motorola Mobility']",False,[],[],Qualified as a lawyer in the United Kingdom and United States
FLEX LTD.,0000866374,2021-06-25,Rebecca S. Sidelinger,Rebecca S. Sidelinger,"President, Reliability Solutions",57,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Electrical Engineering', 'university': 'Gannon University', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'Penn State University', 'year': None}]",2022,"['President, Mechanical Systems & Components Strategic Business Unit, Honeywell Aerospace', 'Vice President/General Manager, Safety Systems, Honeywell Aerospace', 'Various senior roles, GE Transportation Systems and GE Motors']",False,[],[],
FLEX LTD.,0000866374,2021-06-25,Hooi Tan,Hooi Tan,"President, Global Operations and Components",45,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Electrical Engineering', 'university': 'Purdue University', 'year': None}]",2022,"['Senior Vice President, Global Operations, Flex', 'Various leadership roles, Solectron']",False,[],[],
FLEX LTD.,0000866374,2021-06-25,Daniel J. Wendler,Daniel J. Wendler,Chief Accounting Officer,55,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Accounting', 'university': 'State University of New York, College of Oswego', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'University of Rochester – Simon School', 'year': None}]",2022,"['Chief Accounting Officer, Keter Group SA', 'Vice President and Assistant Controller, Carrier Global Corporation', 'Vice President and Controller, Carrier Global Corporation']",False,[],[],Certified Public Accountant in the State of New York
FLEX LTD.,0000866374,2020-06-26,Revathi Advaithi,Revathi Advaithi,Chief Executive Officer,54,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Mechanical Engineering', 'university': 'Birla Institute of Technology and Science', 'year': None}, {'degree': 'MBA', 'field': 'International Business', 'university': 'Thunderbird-Garvin School of International Business', 'year': None}]",2019,"['President and Chief Operating Officer, Electrical Sector, Eaton Corporation plc', 'President of Electrical Sector, Americas, Eaton Corporation plc', 'Vice President and General Manager, Electrical Components Division, Eaton Corporation plc', 'Vice President and General Manager, Field Solutions, Honeywell']",True,[],"['Uber Technologies, Inc.']",
FLEX LTD.,0000866374,2020-06-26,Paul R. Lundstrom,Paul R. Lundstrom,Chief Financial Officer,47,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Finance', 'university': 'Truman State University', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'Columbia University', 'year': None}]",2020,"['Vice President and Chief Financial Officer, Aerojet Rocketdyne Holdings, Inc.', 'Vice President of Investor Relations, United Technologies Corporation', 'Vice President and Chief Financial Officer, Building & Industrial Systems – North Asia, United Technologies Corporation', 'Vice President and Chief Financial Officer, Climate, Control & Security – Asia, United Technologies Corporation', 'Vice President and Chief Financial Officer, Carrier Building Systems and Services, United Technologies Corporation']",False,[],[],Certified Public Accountant in the State of Illinois
FLEX LTD.,0000866374,2020-06-26,Michael P. Hartung,Michael P. Hartung,"President, Agility Solutions",54,,,,,,2022,"[{'degree': 'Bachelor of Arts', 'field': 'Economics', 'university': 'University of California, Los Angeles', 'year': None}]",2007,"['Senior Vice President of Lifestyle, Flex Ltd.', 'Vice President, Capital Equipment market segment, Flex Ltd.', 'Vice President, Computing & Storage business unit, Solectron Corporation']",False,[],[],
FLEX LTD.,0000866374,2020-06-26,Scott Offer,Scott Offer,Executive Vice President and General Counsel,57,,,,,,2022,"[{'degree': 'Law Degree', 'field': None, 'university': 'London School of Economics and Political Science', 'year': None}]",2016,"['Senior Vice President and General Counsel, Lenovo', 'Chief Counsel, Lenovo Mobile Business Group', 'Senior Vice President and General Counsel, Motorola Mobility', 'Senior Vice President and General Counsel, Motorola Mobility, Inc.']",False,[],[],Qualified as a lawyer in the United Kingdom and United States
FLEX LTD.,0000866374,2020-06-26,Rebecca S. Sidelinger,Rebecca S. Sidelinger,"President, Reliability Solutions",57,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Electrical Engineering', 'university': 'Gannon University', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'Penn State University', 'year': None}]",2022,"['President, Mechanical Systems & Components Strategic Business Unit, Honeywell Aerospace', 'Vice President/General Manager, Safety Systems, Honeywell Aerospace', 'Various senior roles, Honeywell Aerospace', 'Leadership positions, GE Transportation Systems and GE Motors']",False,[],[],
FLEX LTD.,0000866374,2020-06-26,Hooi Tan,Hooi Tan,"President, Global Operations and Components",45,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Electrical Engineering', 'university': 'Purdue University', 'year': None}]",2002,"['Senior Vice President, Global Operations, Flex Ltd.', 'Various leadership roles, Solectron Corporation']",False,[],[],
FLEX LTD.,0000866374,2020-06-26,Daniel J. Wendler,Daniel J. Wendler,Chief Accounting Officer,55,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Accounting', 'university': 'State University of New York, College of Oswego', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'University of Rochester – Simon School', 'year': None}]",2022,"['Chief Accounting Officer, Keter Group SA', 'Vice President and Assistant Controller, Carrier Global Corporation', 'Vice President and Controller, Carrier Global Corporation', 'Audit Manager, Price Waterhouse LLP']",False,[],[],Certified Public Accountant in the State of New York
FLEX LTD.,0000866374,2019-07-09,Revathi Advaithi,Revathi Advaithi,Chief Executive Officer,54,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Mechanical Engineering', 'university': 'Birla Institute of Technology and Science', 'year': None}, {'degree': 'MBA', 'field': 'International Business', 'university': 'Thunderbird-Garvin School of International Business', 'year': None}]",2019,"['President and Chief Operating Officer, Electrical Sector, Eaton Corporation plc', 'President of Electrical Sector, Americas, Eaton', 'Vice President and General Manager, Electrical Components Division, Eaton', 'Vice President and General Manager, Field Solutions, Honeywell']",True,[],"['Uber Technologies, Inc.']",
FLEX LTD.,0000866374,2019-07-09,Paul R. Lundstrom,Paul R. Lundstrom,Chief Financial Officer,47,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Finance', 'university': 'Truman State University', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'Columbia University', 'year': None}]",2020,"['Vice President and Chief Financial Officer, Aerojet Rocketdyne Holdings, Inc.', 'Vice President of Investor Relations, United Technologies Corporation', 'Vice President and Chief Financial Officer, Building & Industrial Systems – North Asia, United Technologies Corporation', 'Vice President and Chief Financial Officer, Climate, Control & Security – Asia, United Technologies Corporation', 'Vice President and Chief Financial Officer, Carrier Building Systems and Services, United Technologies Corporation']",False,[],[],Certified Public Accountant in the State of Illinois
FLEX LTD.,0000866374,2019-07-09,Michael P. Hartung,Michael P. Hartung,"President, Agility Solutions",54,,,,,,2022,"[{'degree': 'Bachelor of Arts', 'field': 'Economics', 'university': 'University of California, Los Angeles', 'year': None}]",2020,"['Senior Vice President of Lifestyle, Flex', 'Vice President, Capital Equipment market segment, Flex', 'Vice President, Computing & Storage business unit, Solectron Corporation']",False,[],[],
FLEX LTD.,0000866374,2019-07-09,Scott Offer,Scott Offer,Executive Vice President and General Counsel,57,,,,,,2022,"[{'degree': 'Law Degree', 'field': None, 'university': 'London School of Economics and Political Science', 'year': None}]",2016,"['Senior Vice President and General Counsel, Lenovo', 'Chief Counsel, Lenovo Mobile Business Group', 'Senior Vice President and General Counsel, Motorola Mobility', 'Senior Vice President and General Counsel, Motorola Mobility, Inc.']",False,[],[],Qualified as a lawyer in the United Kingdom and United States
FLEX LTD.,0000866374,2019-07-09,Rebecca S. Sidelinger,Rebecca S. Sidelinger,"President, Reliability Solutions",57,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Electrical Engineering', 'university': 'Gannon University', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'Penn State University', 'year': None}]",2022,"['President, Mechanical Systems & Components Strategic Business Unit, Honeywell Aerospace', 'Vice President/General Manager, Safety Systems, Honeywell Aerospace', 'Various senior roles, Honeywell Aerospace', 'Leadership positions, GE Transportation Systems and GE Motors']",False,[],[],
FLEX LTD.,0000866374,2019-07-09,Hooi Tan,Hooi Tan,"President, Global Operations and Components",45,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Electrical Engineering', 'university': 'Purdue University', 'year': None}]",2022,"['Senior Vice President, Global Operations, Flex', 'Various leadership roles, Solectron']",False,[],[],
FLEX LTD.,0000866374,2019-07-09,Daniel J. Wendler,Daniel J. Wendler,Chief Accounting Officer,55,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Accounting', 'university': 'State University of New York, College of Oswego', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'University of Rochester – Simon School', 'year': None}]",2022,"['Chief Accounting Officer, Keter Group SA', 'Vice President and Assistant Controller, Carrier Global Corporation', 'Vice President and Controller, Carrier Global Corporation', 'Audit Manager, Price Waterhouse LLP']",False,[],[],Certified Public Accountant in the State of New York
FLEX LTD.,0000866374,2018-07-05,Revathi Advaithi,Revathi Advaithi,Chief Executive Officer,54,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Mechanical Engineering', 'university': 'Birla Institute of Technology and Science', 'year': None}, {'degree': 'MBA', 'field': 'International Business', 'university': 'Thunderbird-Garvin School of International Business', 'year': None}]",2019,"['President and Chief Operating Officer, Electrical Sector, Eaton Corporation plc', 'President of Electrical Sector, Americas, Eaton', 'Vice President and General Manager, Electrical Components Division, Eaton', 'Vice President and General Manager, Field Solutions, Honeywell']",True,[],"['Uber Technologies, Inc.']",
FLEX LTD.,0000866374,2018-07-05,Paul R. Lundstrom,Paul R. Lundstrom,Chief Financial Officer,47,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Finance', 'university': 'Truman State University', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'Columbia University', 'year': None}]",2020,"['Vice President and Chief Financial Officer, Aerojet Rocketdyne Holdings, Inc.', 'Vice President of Investor Relations, United Technologies Corporation', 'Vice President and Chief Financial Officer, Building & Industrial Systems – North Asia, United Technologies Corporation', 'Vice President and Chief Financial Officer, Climate, Control & Security – Asia, United Technologies Corporation', 'Vice President and Chief Financial Officer, Carrier Building Systems and Services, United Technologies Corporation']",False,[],[],Certified Public Accountant in the State of Illinois
FLEX LTD.,0000866374,2018-07-05,Michael P. Hartung,Michael P. Hartung,"President, Agility Solutions",54,,,,,,2022,"[{'degree': 'Bachelor of Arts', 'field': 'Economics', 'university': 'University of California, Los Angeles', 'year': None}]",2020,"['Senior Vice President of Lifestyle, Flex', 'Vice President, Capital Equipment market segment, Flex', 'Vice President, Computing & Storage business unit, Solectron Corporation']",False,[],[],
FLEX LTD.,0000866374,2018-07-05,Scott Offer,Scott Offer,Executive Vice President and General Counsel,57,,,,,,2022,"[{'degree': 'Law Degree', 'field': None, 'university': 'London School of Economics and Political Science', 'year': None}]",2016,"['Senior Vice President and General Counsel, Lenovo', 'Chief Counsel, Lenovo Mobile Business Group', 'Senior Vice President and General Counsel, Motorola Mobility', 'Senior Vice President and General Counsel, Motorola Mobility, Inc.']",False,[],[],Qualified as a lawyer in the United Kingdom and United States
FLEX LTD.,0000866374,2018-07-05,Rebecca S. Sidelinger,Rebecca S. Sidelinger,"President, Reliability Solutions",57,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Electrical Engineering', 'university': 'Gannon University', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'Penn State University', 'year': None}]",2022,"['President, Mechanical Systems & Components Strategic Business Unit, Honeywell Aerospace', 'Vice President/General Manager, Safety Systems, Honeywell Aerospace', 'Various senior roles, Honeywell Aerospace', 'Leadership positions, GE Transportation Systems and GE Motors']",False,[],[],
FLEX LTD.,0000866374,2018-07-05,Hooi Tan,Hooi Tan,"President, Global Operations and Components",45,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Electrical Engineering', 'university': 'Purdue University', 'year': None}]",2022,"['Senior Vice President, Global Operations, Flex', 'Various leadership roles, Solectron']",False,[],[],
FLEX LTD.,0000866374,2018-07-05,Daniel J. Wendler,Daniel J. Wendler,Chief Accounting Officer,55,,,,,,2022,"[{'degree': 'Bachelor of Science', 'field': 'Accounting', 'university': 'State University of New York, College of Oswego', 'year': None}, {'degree': 'MBA', 'field': None, 'university': 'University of Rochester – Simon School', 'year': None}]",2022,"['Chief Accounting Officer, Keter Group SA', 'Vice President and Assistant Controller, Carrier Global Corporation', 'Vice President and Controller, Carrier Global Corporation', 'Audit Manager, Price Waterhouse LLP']",False,[],[],Certified Public Accountant in the State of New York
GARMIN LTD,0001121788,2022-04-25,Min H. Kao,Min H. Kao,Executive Chairman,73,350000,0,307,34123,384430,2021,"[{'degree': 'Ph.D.', 'field': 'Electrical Engineering', 'university': 'University of Tennessee', 'year': None}, {'degree': 'MS', 'field': 'Electrical Engineering', 'university': 'University of Tennessee', 'year': None}, {'degree': 'BS', 'field': 'Electrical Engineering', 'university': 'National Taiwan University', 'year': None}]",1990,"['Chairman', 'Co-Chairman', 'Chief Executive Officer', 'Co-Chief Executive Officer']",True,[],[],
GARMIN LTD,0001121788,2022-04-25,Clifton A. Pemble,Clifton A. Pemble,President and Chief Executive Officer,56,1200000,3003686,307,34348,4238341,2021,"[{'degree': 'BA', 'field': 'Mathematics', 'university': 'MidAmerica Nazarene University', 'year': None}, {'degree': 'BA', 'field': 'Computer Science', 'university': 'MidAmerica Nazarene University', 'year': None}]",1989,"['President and Chief Operating Officer', 'Vice President, Engineering', 'Director of Engineering', 'Software Engineering Manager', 'Software Engineer']",True,[],[],
GARMIN LTD,0001121788,2022-04-25,Douglas G. Boessen,Douglas G. Boessen,Chief Financial Officer and Treasurer,,660000,720567,307,34348,1415222,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2022-04-25,Andrew R. Etkind,Andrew R. Etkind,"Vice President, General Counsel and Secretary",,670000,672725,328,436324,1779377,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2022-04-25,Philip I. Straub,Philip I. Straub,"Executive Vice President, Managing Director - Aviation",,705000,1134214,307,34348,1873869,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2022-04-25,Patrick G. Desbois,Patrick G. Desbois,"Executive Vice President, Operations",,630000,1042880,1722,34348,1708950,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2021-04-19,Min H. Kao,Min H. Kao,Executive Chairman,73,350000,0,307,34123,384430,2021,"[{'degree': 'Ph.D.', 'field': 'Electrical Engineering', 'university': 'University of Tennessee', 'year': None}, {'degree': 'MS', 'field': 'Electrical Engineering', 'university': 'University of Tennessee', 'year': None}, {'degree': 'BS', 'field': 'Electrical Engineering', 'university': 'National Taiwan University', 'year': None}]",1990,"['Chairman', 'Co-Chairman', 'Chief Executive Officer', 'Co-Chief Executive Officer']",True,[],[],
GARMIN LTD,0001121788,2021-04-19,Clifton A. Pemble,Clifton A. Pemble,President and Chief Executive Officer,56,1200000,3003686,307,34348,4238341,2021,"[{'degree': 'BA', 'field': 'Mathematics', 'university': 'MidAmerica Nazarene University', 'year': None}, {'degree': 'BA', 'field': 'Computer Science', 'university': 'MidAmerica Nazarene University', 'year': None}]",1989,"['President and Chief Operating Officer', 'Vice President, Engineering', 'Director of Engineering', 'Software Engineering Manager', 'Software Engineer']",True,[],[],
GARMIN LTD,0001121788,2021-04-19,Douglas G. Boessen,Douglas G. Boessen,Chief Financial Officer and Treasurer,,660000,720567,307,34348,1415222,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2021-04-19,Andrew R. Etkind,Andrew R. Etkind,"Vice President, General Counsel and Secretary",,670000,672725,328,436324,1779377,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2021-04-19,Philip I. Straub,Philip I. Straub,"Executive Vice President, Managing Director - Aviation",,705000,1134214,307,34348,1873869,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2021-04-19,Patrick G. Desbois,Patrick G. Desbois,"Executive Vice President, Operations",,630000,1042880,1722,34348,1708950,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2020-04-20,Min H. Kao,Min H. Kao,Executive Chairman,73,350000,0,307,34123,384430,2021,"[{'degree': 'Ph.D.', 'field': 'Electrical Engineering', 'university': 'University of Tennessee', 'year': None}, {'degree': 'MS', 'field': 'Electrical Engineering', 'university': 'University of Tennessee', 'year': None}, {'degree': 'BS', 'field': 'Electrical Engineering', 'university': 'National Taiwan University', 'year': None}]",1990,"['Chairman', 'Co-Chairman', 'Chief Executive Officer', 'Co-Chief Executive Officer']",True,[],[],Co-founder of Garmin
GARMIN LTD,0001121788,2020-04-20,Clifton A. Pemble,Clifton A. Pemble,President and Chief Executive Officer,56,1200000,3003686,307,34348,4238341,2021,"[{'degree': 'BA', 'field': 'Mathematics', 'university': 'MidAmerica Nazarene University', 'year': None}, {'degree': 'BA', 'field': 'Computer Science', 'university': 'MidAmerica Nazarene University', 'year': None}]",1989,"['President and Chief Operating Officer', 'Vice President, Engineering', 'Director of Engineering', 'Software Engineering Manager', 'Software Engineer']",True,[],[],
GARMIN LTD,0001121788,2020-04-20,Douglas G. Boessen,Douglas G. Boessen,Chief Financial Officer and Treasurer,,660000,720567,307,34348,1415222,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2020-04-20,Andrew R. Etkind,Andrew R. Etkind,"Vice President, General Counsel and Secretary",,670000,672725,328,436324,1779377,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2020-04-20,Philip I. Straub,Philip I. Straub,"Executive Vice President, Managing Director - Aviation, Garmin International, Inc.",,705000,1134214,307,34348,1873869,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2020-04-20,Patrick G. Desbois,Patrick G. Desbois,"Executive Vice President, Operations, Garmin International, Inc.",,630000,1042880,1722,34348,1708950,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2019-04-22,Min H. Kao,Min H. Kao,Executive Chairman,73,350000,0,307,34123,384430,2021,"[{'degree': 'Ph.D.', 'field': 'Electrical Engineering', 'university': 'University of Tennessee', 'year': None}, {'degree': 'MS', 'field': 'Electrical Engineering', 'university': 'University of Tennessee', 'year': None}, {'degree': 'BS', 'field': 'Electrical Engineering', 'university': 'National Taiwan University', 'year': None}]",1990,"['Chairman', 'Co-Chairman', 'Chief Executive Officer', 'Co-Chief Executive Officer']",True,[],[],Co-founder of Garmin
GARMIN LTD,0001121788,2019-04-22,Clifton A. Pemble,Clifton A. Pemble,President and Chief Executive Officer,56,1200000,3003686,307,34348,4238341,2021,"[{'degree': 'BA', 'field': 'Mathematics', 'university': 'MidAmerica Nazarene University', 'year': None}, {'degree': 'BA', 'field': 'Computer Science', 'university': 'MidAmerica Nazarene University', 'year': None}]",1989,"['President and Chief Operating Officer', 'Vice President, Engineering', 'Director of Engineering', 'Software Engineering Manager', 'Software Engineer']",True,[],[],
GARMIN LTD,0001121788,2019-04-22,Douglas G. Boessen,Douglas G. Boessen,Chief Financial Officer and Treasurer,,660000,720567,307,34348,1415222,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2019-04-22,Andrew R. Etkind,Andrew R. Etkind,"Vice President, General Counsel and Secretary",,670000,672725,328,436324,1779377,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2019-04-22,Philip I. Straub,Philip I. Straub,"Executive Vice President, Managing Director - Aviation",,705000,1134214,307,34348,1873869,2021,[],,[],False,[],[],
GARMIN LTD,0001121788,2019-04-22,Patrick G. Desbois,Patrick G. Desbois,"Executive Vice President, Operations",,630000,1042880,1722,34348,1708950,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2022-04-05,Jeffrey A. Miller,Jeffrey A. Miller,"Chairman, President and Chief Executive Officer",58,1500000,6300070,14131664,1417921,23591982,2021,[],2014,"['President and Chief Health, Safety and Environment Officer', 'President', 'COO']",True,[],[],
HALLIBURTON CO,0000045012,2022-04-05,Lance Loeffler,Lance Loeffler,Executive Vice President and Chief Financial Officer,45,760000,1765560,4398952,480841,7433499,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2022-04-05,Eric J. Carre,Eric J. Carre,Executive Vice President – Global Business Lines,56,800000,1710830,4417392,608429,7627479,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2022-04-05,Joe D. Rainey,Joe D. Rainey,President – Eastern Hemisphere,65,910000,2258133,5760776,2200075,11670626,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2022-04-05,Mark J. Richard,Mark J. Richard,President – Western Hemisphere,60,810000,2217592,5540776,1321497,10095558,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2021-04-06,Jeffrey A. Miller,Jeffrey A. Miller,"Chairman, President and Chief Executive Officer",58,1500000,6300070,14131664,1417921,23591982,2021,[],2014,"['President and Chief Health, Safety and Environment Officer', 'President', 'COO']",True,[],[],
HALLIBURTON CO,0000045012,2021-04-06,Lance Loeffler,Lance Loeffler,Executive Vice President and Chief Financial Officer,45,760000,1765560,4398952,480841,7433499,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2021-04-06,Eric J. Carre,Eric J. Carre,Executive Vice President – Global Business Lines,56,800000,1710830,4417392,608429,7627479,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2021-04-06,Joe D. Rainey,Joe D. Rainey,President – Eastern Hemisphere,65,910000,2258133,5760776,2200075,11670626,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2021-04-06,Mark J. Richard,Mark J. Richard,President – Western Hemisphere,60,810000,2217592,5540776,1321497,10095558,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2020-04-07,Jeffrey A. Miller,Jeffrey A. Miller,"Chairman, President and Chief Executive Officer",58,1500000,6300070,14131664,1417921,23591982,2021,[],2014,"['Chief Operating Officer', 'President and Chief Health, Safety and Environment Officer']",True,[],[],
HALLIBURTON CO,0000045012,2020-04-07,Lance Loeffler,Lance Loeffler,Executive Vice President and Chief Financial Officer,45,760000,1765560,4398952,480841,7433499,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2020-04-07,Eric J. Carre,Eric J. Carre,Executive Vice President – Global Business Lines,56,800000,1710830,4417392,608429,7627479,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2020-04-07,Joe D. Rainey,Joe D. Rainey,President – Eastern Hemisphere,65,910000,2258133,5760776,2200075,11670626,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2020-04-07,Mark J. Richard,Mark J. Richard,President – Western Hemisphere,60,810000,2217592,5540776,1321497,10095558,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2019-04-02,Jeffrey A. Miller,Jeffrey A. Miller,"Chairman, President and Chief Executive Officer",58,1500000,6300070,14131664,1417921,23591982,2021,[],2014,"['Chief Operating Officer', 'President and Chief Health, Safety and Environment Officer']",True,[],[],
HALLIBURTON CO,0000045012,2019-04-02,Lance Loeffler,Lance Loeffler,Executive Vice President and Chief Financial Officer,45,760000,1765560,4398952,480841,7433499,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2019-04-02,Eric J. Carre,Eric J. Carre,Executive Vice President – Global Business Lines,56,800000,1710830,4417392,608429,7627479,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2019-04-02,Joe D. Rainey,Joe D. Rainey,President – Eastern Hemisphere,65,910000,2258133,5760776,2200075,11670626,2021,[],,[],False,[],[],
HALLIBURTON CO,0000045012,2019-04-02,Mark J. Richard,Mark J. Richard,President – Western Hemisphere,60,810000,2217592,5540776,1321497,10095558,2021,[],,[],False,[],[],
MCCORMICK & CO INC,0000063754,2022-02-17,Lawrence E. Kurzius,Lawrence E. Kurzius,Chairman and Chief Executive Officer,64,1250000,4300055,103292,472664,10426035,2022,[],2015,"['President and Chief Operating Officer', 'President of the Company’s global consumer business', 'Chief Administrative Officer', 'President of the Company’s international business', 'President of EMEA', 'President of U.S. Consumer Foods', 'Vice President and General Manager of Sales and Marketing for U.S. Consumer Foods', 'President of Zatarain’s']",True,[],['Elanco Animal Health Inc.'],
MCCORMICK & CO INC,0000063754,2022-02-17,Michael R. Smith,Michael R. Smith,Executive Vice President and Chief Financial Officer,58,741346,1150047,41317,197986,3280713,2022,[],2015,"['Senior Vice President, Corporate Finance']",False,[],[],
MCCORMICK & CO INC,0000063754,2022-02-17,Brendan M. Foley,Brendan M. Foley,President and Chief Operating Officer,57,851827,1000067,99679,203010,3154602,2022,[],2017,"['President, Global Consumer, Americas and Asia', 'President, Global Consumer and Americas']",False,[],[],
MCCORMICK & CO INC,0000063754,2022-02-17,Jeffery D. Schwartz,Jeffery D. Schwartz,"Vice President, General Counsel & Secretary",53,623077,800036,29500,150301,2402921,2022,[],2014,[],False,[],[],
MCCORMICK & CO INC,0000063754,2022-02-17,Malcolm Swift,Malcolm Swift,"President, Global Flavor Solutions and Chief Administrative Officer",62,614958,800036,55799,79421,2350221,2022,[],2016,"['President, Global Flavor Solutions and McCormick International', 'President, Global Industrial and McCormick International']",False,[],[],
MCCORMICK & CO INC,0000063754,2021-02-17,Lawrence E. Kurzius,Lawrence E. Kurzius,Chairman and Chief Executive Officer,64,1250000,4300055,103292,472664,10426035,2022,[],2015,"['President and Chief Operating Officer', 'President of the Company’s global consumer business', 'Chief Administrative Officer', 'President of the Company’s international business', 'President of EMEA', 'President of U.S. Consumer Foods', 'Vice President and General Manager of Sales and Marketing for U.S. Consumer Foods', 'President of Zatarain’s']",True,[],['Elanco Animal Health Inc.'],
MCCORMICK & CO INC,0000063754,2021-02-17,Michael R. Smith,Michael R. Smith,Executive Vice President and Chief Financial Officer,58,741346,1150047,41317,197986,3280713,2022,[],2015,"['Senior Vice President, Corporate Finance']",False,[],[],
MCCORMICK & CO INC,0000063754,2021-02-17,Brendan M. Foley,Brendan M. Foley,President and Chief Operating Officer,57,851827,1000067,99679,203010,3154602,2022,[],2017,"['President, Global Consumer, Americas and Asia', 'President, Global Consumer and Americas']",False,[],[],
